Overdrive Name,Overdrive Link,Country,Region,Collection Size,Ebooks,Audiobooks,Magazines
Laredo Public Library,https://lplelibrary.overdrive.com,United States,Texas,39646,29048,5851,4747
Boroondara Library Service,https://boroondara.overdrive.com,Australia,Victoria,39545,30202,4586,4756
Capital Area Library District,https://capitalarealibrary.overdrive.com,United States,Pennsylvania,39511,27841,11669,0
Montgomery County Library District Consortium,https://montcolibs.overdrive.com,United States,Pennsylvania,39417,25863,8802,4752
Pinellas Public Library Cooperative,https://pplc.overdrive.com,United States,Florida,39333,24358,10241,4734
Greater Dandenong Libraries,https://greaterdandenong.overdrive.com,Australia,Victoria,39279,31568,4856,2854
Siouxland Libraries,https://siouxlndsd.overdrive.com,United States,South Dakota,39026,21762,12554,4710
E-Library Co-Op of Southeast Louisiana,https://ecoop.overdrive.com,United States,Louisiana,38959,32715,6244,0
Delaware Libraries,https://delaware.overdrive.com,United States,Delaware,38943,27476,11467,0
Wichita Public Library,https://wichita.overdrive.com,United States,Kansas,38680,29465,4510,4704
Poudre River Public Library District,https://poudre.overdrive.com,United States,Colorado,38239,30839,7399,0
NCW Libraries,https://ncwlibraries.overdrive.com,United States,Washington,38225,24304,9251,4669
OWWL Library System,https://owwl.overdrive.com,United States,New York,38161,21757,11676,4728
Merced County Library,https://mercedcountylibrary.overdrive.com,United States,California,38104,2390,31001,4712
Delaware County Library System,https://delco.overdrive.com,United States,Pennsylvania,38092,22478,10898,4716
Des Moines Public Library,https://dmpl.overdrive.com,United States,Iowa,38065,21779,11536,4749
Kumatori Town Library,https://kumatori-library.overdrive.com,Japan,Osaka,38045,33275,38,4732
Norfolk County Council,https://norfolk.overdrive.com,United Kingdom,England,38043,29697,3582,4763
Narita Public Library,https://narita-public-library.overdrive.com,Japan,Chiba,37978,33238,17,4723
